Status: active

     To                         Action      From
     --                         ------      ----
[ 1] Anywhere                   DENY IN     59.54.147.220             
[ 2] Anywhere                   DENY IN     36.6.145.13               
[ 3] Anywhere                   DENY IN     27.40.150.159             
[ 4] Anywhere                   DENY IN     27.40.128.219             
[ 5] Anywhere                   DENY IN     183.130.91.40             
[ 6] Anywhere                   DENY IN     182.38.79.198             
[ 7] Anywhere                   DENY IN     182.38.45.42              
[ 8] Anywhere                   DENY IN     140.250.162.73            
[ 9] Anywhere                   DENY IN     117.57.89.22              
[10] Anywhere                   DENY IN     60.168.69.148             
[11] Anywhere                   DENY IN     49.79.90.28               
[12] Anywhere                   DENY IN     49.79.89.201              
[13] Anywhere                   DENY IN     49.79.65.14               
[14] Anywhere                   DENY IN     27.40.158.150             
[15] Anywhere                   DENY IN     27.40.148.206             
[16] Anywhere                   DENY IN     183.164.242.191           
[17] Anywhere                   DENY IN     182.38.47.182             
[18] Anywhere                   DENY IN     180.126.209.44            
[19] Anywhere                   DENY IN     140.250.133.103           
[20] Anywhere                   DENY IN     121.224.182.240           
[21] Anywhere                   DENY IN     117.57.89.48              
[22] Anywhere                   DENY IN     117.42.22.139             
[23] Anywhere                   DENY IN     114.102.42.168            
[24] Anywhere                   DENY IN     61.147.60.89              
[25] Anywhere                   DENY IN     60.180.153.38             
[26] Anywhere                   DENY IN     60.176.233.55             
[27] Anywhere                   DENY IN     60.168.69.90              
[28] Anywhere                   DENY IN     60.168.69.86              
[29] Anywhere                   DENY IN     60.168.69.46              
[30] Anywhere                   DENY IN     60.168.69.4               
[31] Anywhere                   DENY IN     60.168.69.3               
[32] Anywhere                   DENY IN     60.168.69.226             
[33] Anywhere                   DENY IN     60.168.69.1               
[34] Anywhere                   DENY IN     60.168.68.86              
[35] Anywhere                   DENY IN     60.168.68.240             
[36] Anywhere                   DENY IN     60.168.68.209             
[37] Anywhere                   DENY IN     60.168.68.191             
[38] Anywhere                   DENY IN     60.168.68.156             
[39] Anywhere                   DENY IN     60.168.68.149             
[40] Anywhere                   DENY IN     60.166.89.219             
[41] Anywhere                   DENY IN     60.166.89.15              
[42] Anywhere                   DENY IN     60.166.89.122             
[43] Anywhere                   DENY IN     60.166.89.118             
[44] Anywhere                   DENY IN     60.166.89.108             
[45] Anywhere                   DENY IN     60.166.88.70              
[46] Anywhere                   DENY IN     60.166.88.190             
[47] Anywhere                   DENY IN     59.54.169.225             
[48] Anywhere                   DENY IN     59.54.169.157             
[49] Anywhere                   DENY IN     59.54.169.118             
[50] Anywhere                   DENY IN     59.54.169.100             
[51] Anywhere                   DENY IN     59.54.156.97              
[52] Anywhere                   DENY IN     59.54.156.3               
[53] Anywhere                   DENY IN     59.54.156.226             
[54] Anywhere                   DENY IN     59.54.156.220             
[55] Anywhere                   DENY IN     59.54.148.77              
[56] Anywhere                   DENY IN     59.54.148.252             
[57] Anywhere                   DENY IN     59.54.148.22              
[58] Anywhere                   DENY IN     59.54.133.39              
[59] Anywhere                   DENY IN     59.54.133.218             
[60] Anywhere                   DENY IN     59.54.133.200             
[61] Anywhere                   DENY IN     59.54.133.167             
[62] Anywhere                   DENY IN     59.54.133.126             
[63] Anywhere                   DENY IN     59.54.133.107             
[64] Anywhere                   DENY IN     58.219.235.76             
[65] Anywhere                   DENY IN     58.219.235.58             
[66] Anywhere                   DENY IN     58.219.173.52             
[67] Anywhere                   DENY IN     58.219.155.113            
[68] Anywhere                   DENY IN     58.216.61.190             
[69] Anywhere                   DENY IN     49.87.33.181              
[70] Anywhere                   DENY IN     49.87.25.125              
[71] Anywhere                   DENY IN     49.87.109.74              
[72] Anywhere                   DENY IN     49.85.248.135             
[73] Anywhere                   DENY IN     49.84.217.88              
[74] Anywhere                   DENY IN     49.83.26.108              
[75] Anywhere                   DENY IN     49.83.247.202             
[76] Anywhere                   DENY IN     49.83.166.31              
[77] Anywhere                   DENY IN     49.83.164.176             
[78] Anywhere                   DENY IN     49.83.163.9               
[79] Anywhere                   DENY IN     49.83.162.3               
[80] Anywhere                   DENY IN     49.83.161.8               
[81] Anywhere                   DENY IN     49.83.160.209             
[82] Anywhere                   DENY IN     49.83.135.81              
[83] Anywhere                   DENY IN     49.82.54.120              
[84] Anywhere                   DENY IN     49.79.91.61               
[85] Anywhere                   DENY IN     49.79.91.59               
[86] Anywhere                   DENY IN     49.79.90.214              
